Address: 0x00001234, Set: 0x0, Miss, Tag: 0x000009
Address: 0x00005678, Set: 0x0, Miss, Tag: 0x00002b
Address: 0x00009abc, Set: 0x0, Miss, Tag: 0x00004d
Address: 0x0000deff, Set: 0x0, Miss, Tag: 0x00006f
Address: 0x00001234, Set: 0x0, Hit, Tag: 0x000009
Address: 0x00009abc, Set: 0x0, Hit, Tag: 0x00004d
Address: 0x00005678, Set: 0x0, Hit, Tag: 0x00002b
Address: 0x0000deff, Set: 0x0, Hit, Tag: 0x00006f
Address: 0x00001234, Set: 0x0, Hit, Tag: 0x000009
Address: 0x0000deff, Set: 0x0, Hit, Tag: 0x00006f
Address: 0x00009abc, Set: 0x0, Hit, Tag: 0x00004d
Address: 0x00005678, Set: 0x0, Hit, Tag: 0x00002b
