Address: 0x00001804, Set: 0x0, Miss, Tag: 0x00000c
Address: 0x00001174, Set: 0xb, Miss, Tag: 0x000008
Address: 0x00001545, Set: 0xa, Miss, Tag: 0x00000a
Address: 0x00001604, Set: 0x0, Miss, Tag: 0x00000b
Address: 0x00000381, Set: 0xc, Miss, Tag: 0x000001
Address: 0x00001455, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00001753, Set: 0xa, Miss, Tag: 0x00000b
Address: 0x00000402, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000503, Set: 0x8, Miss, Tag: 0x000002
Address: 0x00000854, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00001130, Set: 0x9, Miss, Tag: 0x000008
Address: 0x00001091, Set: 0x4, Miss, Tag: 0x000008
Address: 0x00000532, Set: 0x9, Miss, Tag: 0x000002
Address: 0x00000700, Set: 0x8, Miss, Tag: 0x000003
Address: 0x00001729, Set: 0x9, Miss, Tag: 0x00000b
Address: 0x00000667, Set: 0x3, Miss, Tag: 0x000003
Address: 0x00001705, Set: 0x8, Miss, Tag: 0x00000b
Address: 0x00000799, Set: 0xc, Miss, Tag: 0x000003
Address: 0x00001746, Set: 0xa, Hit, Tag: 0x00000b
Address: 0x00001799, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00000502, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00000205, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000384, Set: 0xc, Hit, Tag: 0x000001
Address: 0x00000719, Set: 0x8, Miss, Tag: 0x000003
Address: 0x00001415, Set: 0x0, Miss, Tag: 0x00000a
Address: 0x00000599, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00000600, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00001599, Set: 0xc, Miss, Tag: 0x00000a
Address: 0x00001702, Set: 0x8, Hit, Tag: 0x00000b
Address: 0x00001510, Set: 0x8, Miss, Tag: 0x00000a
Address: 0x00001073, Set: 0x3, Miss, Tag: 0x000008
Address: 0x00001458, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00000636, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000571, Set: 0xb, Miss, Tag: 0x000002
Address: 0x00001014, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00001017, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00002026, Set: 0x1, Miss, Tag: 0x000010
Address: 0x00000719, Set: 0x8, Miss, Tag: 0x000003
Address: 0x00001419, Set: 0x0, Hit, Tag: 0x00000a
Address: 0x00000482, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00001573, Set: 0xb, Miss, Tag: 0x00000a
Address: 0x00000502, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00001573, Set: 0xb, Hit, Tag: 0x00000a
Address: 0x00000057, Set: 0x2, Miss, Tag: 0x000000
Address: 0x00001202, Set: 0x0, Miss, Tag: 0x000009
Address: 0x00001254, Set: 0x2, Miss, Tag: 0x000009
Address: 0x00000724, Set: 0x9, Miss, Tag: 0x000003
Address: 0x00000860, Set: 0x3, Miss, Tag: 0x000004
Address: 0x00000005, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000423, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000611, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000508, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00000628, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000996, Set: 0xc, Miss, Tag: 0x000004
Address: 0x00001227, Set: 0x1, Miss, Tag: 0x000009
Address: 0x00002044, Set: 0x2, Miss, Tag: 0x000010
Address: 0x00001595, Set: 0xc, Miss, Tag: 0x00000a
Address: 0x00001827, Set: 0x1, Miss, Tag: 0x00000c
Address: 0x00001595, Set: 0xc, Hit, Tag: 0x00000a
Address: 0x00001249, Set: 0x2, Miss, Tag: 0x000009
Address: 0x00001289, Set: 0x4, Miss, Tag: 0x000009
Address: 0x00000620, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000659, Set: 0x2, Miss, Tag: 0x000003
Address: 0x00001925, Set: 0x9, Miss, Tag: 0x00000c
Address: 0x00001191, Set: 0xc, Miss, Tag: 0x000008
Address: 0x00001673, Set: 0x3, Miss, Tag: 0x00000b
Address: 0x00000894, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00001170, Set: 0xb, Miss, Tag: 0x000008
