Address: 0x0000aabb, Set: 0x0, Miss, Tag: 0x000055
Address: 0x0000ccdd, Set: 0x0, Miss, Tag: 0x000066
Address: 0x0000eeff, Set: 0x0, Miss, Tag: 0x000077
Address: 0x00001122, Set: 0x1, Miss, Tag: 0x000008
Address: 0x0000aabb, Set: 0x0, Hit, Tag: 0x000055
Address: 0x00003344, Set: 0x1, Miss, Tag: 0x000019
Address: 0x0000ccdd, Set: 0x0, Miss, Tag: 0x000066
Address: 0x0000aabb, Set: 0x0, Hit, Tag: 0x000055
Address: 0x0000eeff, Set: 0x0, Hit, Tag: 0x000077
Address: 0x00001122, Set: 0x1, Miss, Tag: 0x000008
Address: 0x00003344, Set: 0x1, Hit, Tag: 0x000019
