Address: 0x00000196, Set: 0x6, Miss, Tag: 0x000000
Address: 0x00000693, Set: 0x2, Miss, Tag: 0x000003
Address: 0x00000086, Set: 0x2, Miss, Tag: 0x000000
Address: 0x00000706, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000229, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00001017, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000662, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000415, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000838, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000248, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000469, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000762, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000662, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000440, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000412, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000765, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00000803, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000663, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000463, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000498, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000818, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000007, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00001011, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00000381, Set: 0x6, Miss, Tag: 0x000001
Address: 0x00000281, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00000734, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000921, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00000025, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000275, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000519, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000968, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000472, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000188, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000030, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000154, Set: 0x5, Miss, Tag: 0x000000
Address: 0x00000417, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000023, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000816, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000833, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000862, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000040, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000278, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000600, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000702, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000718, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00001012, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000444, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000497, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000652, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000907, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000996, Set: 0x6, Miss, Tag: 0x000004
Address: 0x00000446, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000914, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000983, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000827, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000171, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000694, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000725, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000197, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000969, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000220, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000141, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000417, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000408, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000172, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000572, Set: 0x5, Miss, Tag: 0x000002
